age,gender,income,education,vote_2016,govt_spending,healthcare_govt,immigration_concern,urban_rural,main_concerns
35,Female,46342.0,HS,Trump,6,7,5,Rural,"healthcare, immigration, economy, rural development (important issue)"
18,Male,77498.0,Postgrad,Clinton,5,6,2,Rural,"healthcare, economy, immigration, rural development (important issue)"
65,Female,37081.0,Some College,Trump,2,6,4,Urban,"economy, healthcare, social security (major concern)"
45,Female,34016.0,Some College,Trump,6,7,1,Suburban,"healthcare, economy, immigration (top priority)"
65,Female,40345.0,Postgrad,Clinton,6,3,3,Urban,"healthcare, immigration, economy, social security (major concern)"
55,Female,30933.0,HS,Clinton,4,5,6,Rural,"immigration, healthcare, economy, social security, rural development (important issue)"
35,Female,52453.0,College,Clinton,4,3,6,Suburban,"immigration, economy (top priority)"
65,Male,82494.0,HS,Clinton,4,2,5,Suburban,"immigration, economy, healthcare, social security (top priority)"
18,Female,56462.0,Some College,Clinton,4,1,5,Suburban,"immigration, economy (top priority)"
18,Male,44953.0,College,Trump,3,6,1,Rural,"healthcare, economy, immigration, rural development (important issue)"
18,Male,44164.0,Some College,Clinton,5,5,4,Urban,"healthcare, immigration (major concern)"
25,Female,18736.0,Postgrad,Trump,4,6,2,Suburban,"healthcare, economy, cost of living (major concern)"
25,Female,67662.0,Some College,Trump,7,3,7,Urban,"immigration, healthcare, economy (top priority)"
25,Female,48443.0,Some College,Trump,1,4,4,Urban,"economy, healthcare (important issue)"
55,Female,46390.0,HS,Trump,4,2,4,Suburban,"economy, immigration, healthcare, social security (major concern)"
25,Male,113862.0,Some College,Clinton,5,1,4,Urban,"immigration, economy, healthcare (important issue)"
25,Male,55975.0,Some College,Clinton,4,2,7,Urban,"immigration, economy, healthcare (major concern)"
35,Female,34964.0,HS,Trump,3,4,1,Rural,"economy, healthcare, immigration, rural development (important issue)"
18,Male,41473.0,Some College,Trump,2,1,7,Urban,"immigration, economy, healthcare (major concern)"
55,Male,72969.0,Some College,Trump,2,4,1,Suburban,"economy, healthcare, immigration, social security (top priority)"
18,Male,52265.0,College,Clinton,5,2,7,Urban,"immigration, economy, healthcare (major concern)"
65,Male,21234.0,College,Other,7,3,2,Urban,"healthcare, immigration, social security, cost of living (important issue)"
45,Male,68385.0,College,Clinton,2,7,4,Urban,"healthcare, economy, immigration (major concern)"
18,Male,36637.0,HS,Trump,2,2,1,Suburban,"economy, healthcare (top priority)"
18,Male,87466.0,HS,Other,1,2,7,Suburban,"economy, immigration, healthcare (important issue)"
55,Male,71601.0,College,Clinton,5,2,2,Urban,"economy, healthcare, immigration, social security (major concern)"
45,Female,41054.0,Some College,Trump,7,5,7,Urban,"immigration, healthcare (top priority)"
45,Male,75620.0,HS,Clinton,5,4,6,Rural,"immigration, healthcare, rural development (important issue)"
45,Male,51357.0,College,Clinton,2,4,2,Urban,"economy, healthcare, immigration (important issue)"
18,Female,67055.0,College,Trump,2,6,4,Rural,"economy, healthcare, immigration, rural development (major concern)"
25,Male,59695.0,Some College,Trump,2,4,3,Urban,"economy, healthcare (major concern)"
18,Female,33073.0,HS,Trump,6,6,4,Suburban,"healthcare, immigration (top priority)"
55,Female,37129.0,College,Trump,3,5,3,Urban,"economy, healthcare, social security (important issue)"
35,Male,70599.0,Some College,Trump,4,3,2,Rural,"economy, healthcare, rural development (major concern)"
25,Male,43304.0,College,Trump,3,6,6,Suburban,"healthcare, immigration (major concern)"
18,Female,41927.0,College,Other,5,2,6,Suburban,"immigration, economy, healthcare (important issue)"
25,Female,30898.0,College,Clinton,1,3,1,Urban,"economy, healthcare, immigration (major concern)"
25,Male,58472.0,Some College,Other,4,7,6,Suburban,"healthcare, immigration (important issue)"
45,Female,91250.0,HS,Clinton,1,5,5,Suburban,"economy, healthcare (top priority)"
35,Male,28649.0,College,Trump,7,4,2,Urban,"healthcare, immigration, economy, cost of living (major concern)"
55,Female,50484.0,College,Clinton,6,6,1,Urban,"healthcare, economy, immigration, social security (major concern)"
35,Male,78244.0,College,Clinton,5,2,6,Rural,"immigration, economy, rural development (important issue)"
18,Female,48407.0,HS,Clinton,6,1,2,Urban,"economy, immigration, healthcare (top priority)"
45,Female,59047.0,HS,Trump,5,7,4,Suburban,"healthcare, immigration, economy (top priority)"
45,Female,28752.0,Postgrad,Clinton,1,1,6,Suburban,"economy, immigration, cost of living (important issue)"
35,Male,58566.0,College,Clinton,1,3,7,Rural,"economy, immigration, rural development (top priority)"
45,Male,46257.0,Postgrad,Trump,1,4,3,Rural,"economy, healthcare, immigration, rural development (important issue)"
35,Male,69715.0,College,Trump,5,1,2,Rural,"economy, immigration, healthcare, rural development (top priority)"
35,Male,73748.0,Some College,Clinton,2,3,1,Urban,"economy, healthcare (top priority)"
25,Male,101791.0,College,Clinton,1,5,4,Rural,"economy, healthcare, rural development (important issue)"
18,Female,61593.0,Postgrad,Clinton,6,3,5,Urban,"immigration, healthcare, economy (important issue)"
18,Male,56516.0,Some College,Clinton,7,7,4,Suburban,"healthcare, immigration (top priority)"
18,Male,53888.0,College,Trump,4,3,6,Suburban,"immigration, economy (major concern)"
35,Female,42937.0,HS,Trump,5,7,3,Urban,"healthcare, economy, immigration (top priority)"
25,Female,56770.0,Some College,Trump,6,3,4,Rural,"immigration, healthcare, rural development (major concern)"
35,Female,44092.0,College,Clinton,3,2,5,Urban,"economy, immigration, healthcare (important issue)"
65,Female,53369.0,HS,Trump,7,3,7,Suburban,"immigration, healthcare, social security (major concern)"
25,Male,76352.0,HS,Trump,3,6,1,Suburban,"healthcare, economy (important issue)"
25,Male,29869.0,Some College,Trump,4,3,2,Suburban,"economy, healthcare, cost of living (top priority)"
45,Female,72798.0,HS,Trump,2,2,3,Urban,"economy, immigration, healthcare (top priority)"
25,Female,76342.0,HS,Trump,1,2,5,Suburban,"economy, immigration, healthcare (important issue)"
18,Male,47639.0,Some College,Trump,5,5,6,Rural,"immigration, healthcare, rural development (top priority)"
25,Female,15000.0,Postgrad,Clinton,6,7,6,Urban,"healthcare, immigration, economy, cost of living (top priority)"
18,Male,37844.0,Some College,Other,1,4,6,Suburban,"economy, immigration, healthcare (major concern)"
65,Male,75940.0,HS,Trump,6,1,3,Urban,"immigration, economy, social security (major concern)"
55,Female,49543.0,HS,Trump,5,1,4,Suburban,"immigration, economy, social security (major concern)"
35,Female,30014.0,College,Clinton,3,3,3,Rural,"economy, healthcare, rural development (major concern)"
55,Female,39905.0,Some College,Trump,1,5,6,Suburban,"economy, immigration, healthcare, social security (top priority)"
55,Male,66812.0,College,Trump,4,3,7,Suburban,"immigration, economy, social security (important issue)"
18,Female,60935.0,College,Clinton,2,1,5,Suburban,"economy, immigration (major concern)"
55,Male,45221.0,College,Clinton,4,7,2,Suburban,"healthcare, economy, immigration, social security (major concern)"
35,Male,42664.0,HS,Trump,2,7,2,Urban,"healthcare, economy, immigration (important issue)"
55,Female,42165.0,College,Trump,7,7,3,Urban,"healthcare, immigration, economy, social security (important issue)"
55,Female,31552.0,HS,Trump,6,2,6,Suburban,"immigration, economy, healthcare, social security (top priority)"
25,Female,82308.0,Postgrad,Clinton,1,4,1,Suburban,"economy, healthcare (important issue)"
18,Female,43554.0,College,Trump,1,5,7,Suburban,"economy, immigration (top priority)"
25,Female,74343.0,Some College,Clinton,7,2,3,Urban,"immigration, healthcare, economy (top priority)"
25,Female,80426.0,HS,Clinton,2,4,6,Urban,"economy, immigration, healthcare (top priority)"
55,Male,69966.0,HS,Clinton,3,5,4,Urban,"economy, healthcare, immigration, social security (important issue)"
55,Male,41368.0,College,Clinton,5,5,2,Rural,"healthcare, economy, social security, rural development (important issue)"
18,Male,58075.0,HS,Clinton,4,1,2,Suburban,"economy, immigration (major concern)"
35,Male,49516.0,Some College,Clinton,7,2,7,Urban,"immigration, healthcare, economy (major concern)"
25,Female,31926.0,HS,Clinton,6,5,2,Urban,"healthcare, economy, immigration (top priority)"
25,Male,56487.0,College,Clinton,7,6,1,Rural,"healthcare, economy, immigration, rural development (major concern)"
18,Male,26419.0,College,Trump,4,7,6,Urban,"healthcare, immigration, cost of living (major concern)"
25,Male,73754.0,College,Trump,4,5,6,Rural,"immigration, healthcare, economy, rural development (important issue)"
65,Female,40708.0,College,Clinton,6,4,7,Urban,"immigration, healthcare, economy, social security (top priority)"
25,Male,54023.0,HS,Trump,6,1,6,Rural,"immigration, economy, rural development (major concern)"
35,Female,55666.0,HS,Clinton,1,3,7,Rural,"economy, immigration, rural development (major concern)"
45,Male,44822.0,College,Trump,4,7,6,Suburban,"healthcare, immigration (top priority)"
25,Male,61734.0,Some College,Clinton,5,1,1,Urban,"economy, healthcare, immigration (important issue)"
65,Female,40502.0,Some College,Clinton,5,3,5,Urban,"immigration, economy, healthcare, social security (major concern)"
65,Female,67426.0,HS,Trump,2,2,3,Suburban,"economy, immigration, healthcare, social security (major concern)"
25,Male,23080.0,HS,Trump,7,2,3,Suburban,"immigration, healthcare, cost of living (important issue)"
35,Female,52528.0,HS,Trump,6,5,6,Urban,"immigration, healthcare, economy (important issue)"
25,Female,88779.0,Postgrad,Trump,1,6,4,Urban,"economy, healthcare, immigration (important issue)"
25,Male,29993.0,HS,Other,5,2,2,Suburban,"economy, healthcare, cost of living (major concern)"
18,Female,36445.0,Some College,Clinton,3,5,1,Suburban,"economy, healthcare, immigration (major concern)"
35,Female,60278.0,HS,Clinton,1,7,4,Urban,"economy, healthcare, immigration (top priority)"
35,Female,53592.0,College,Clinton,1,1,4,Urban,"economy, immigration, healthcare (major concern)"
18,Female,57013.0,Some College,Clinton,5,2,6,Rural,"immigration, economy, healthcare, rural development (major concern)"
25,Female,59784.0,Postgrad,Trump,3,1,1,Suburban,"economy, healthcare (major concern)"
65,Female,62694.0,Postgrad,Trump,2,1,3,Suburban,"economy, immigration, social security (major concern)"
25,Female,72194.0,Some College,Clinton,5,6,2,Suburban,"healthcare, economy, immigration (important issue)"
18,Female,58196.0,Postgrad,Other,3,2,3,Urban,"economy, immigration, healthcare (important issue)"
35,Female,45175.0,Postgrad,Trump,1,1,4,Urban,"economy, immigration (important issue)"
65,Female,63451.0,College,Clinton,3,6,2,Urban,"healthcare, economy, immigration, social security (major concern)"
25,Female,87998.0,College,Clinton,1,6,5,Rural,"economy, healthcare, rural development (major concern)"
45,Male,47347.0,HS,Clinton,7,2,4,Suburban,"immigration, healthcare (top priority)"
45,Female,30509.0,Some College,Clinton,5,6,3,Urban,"healthcare, economy (important issue)"
25,Female,72142.0,HS,Clinton,6,2,3,Rural,"immigration, economy, rural development (top priority)"
45,Male,47592.0,HS,Trump,5,2,6,Urban,"immigration, economy, healthcare (top priority)"
25,Female,15000.0,Postgrad,Clinton,7,3,3,Rural,"healthcare, immigration, cost of living, rural development (major concern)"
35,Male,66948.0,Some College,Clinton,4,1,1,Rural,"economy, healthcare, rural development (important issue)"
35,Male,39293.0,College,Other,4,4,4,Urban,"economy, healthcare, immigration (top priority)"
35,Female,48189.0,College,Trump,4,2,7,Urban,"immigration, economy (important issue)"
18,Male,56640.0,Postgrad,Other,5,1,7,Suburban,"immigration, economy, healthcare (top priority)"
55,Female,53810.0,Postgrad,Clinton,2,7,2,Suburban,"healthcare, economy, immigration, social security (major concern)"
25,Female,64189.0,HS,Clinton,5,6,3,Suburban,"healthcare, economy, immigration (top priority)"
18,Male,41290.0,HS,Trump,7,5,6,Rural,"immigration, healthcare, economy, rural development (top priority)"
18,Male,60262.0,Some College,Clinton,7,2,6,Suburban,"immigration, healthcare, economy (major concern)"
35,Male,44809.0,HS,Clinton,6,6,3,Urban,"healthcare, immigration (important issue)"
45,Female,64776.0,HS,Trump,3,6,1,Urban,"healthcare, economy, immigration (top priority)"
18,Female,62307.0,Some College,Trump,5,6,6,Suburban,"healthcare, immigration (top priority)"
35,Female,31291.0,College,Clinton,5,6,7,Urban,"immigration, healthcare, economy (important issue)"
25,Male,71720.0,Some College,Trump,1,6,2,Suburban,"economy, healthcare, immigration (major concern)"
35,Female,39281.0,Some College,Clinton,7,2,4,Urban,"immigration, healthcare (major concern)"
18,Female,66161.0,College,Clinton,1,7,5,Urban,"economy, healthcare (important issue)"
45,Female,57346.0,HS,Clinton,1,4,1,Urban,"economy, healthcare, immigration (major concern)"
25,Male,86764.0,HS,Clinton,5,3,6,Suburban,"immigration, economy, healthcare (top priority)"
65,Female,45531.0,College,Clinton,2,6,4,Urban,"economy, healthcare, social security (major concern)"
18,Female,43014.0,College,Other,3,6,5,Suburban,"healthcare, economy, immigration (important issue)"
25,Female,49612.0,College,Trump,3,3,3,Suburban,"economy, healthcare (important issue)"
18,Male,43936.0,HS,Trump,7,7,3,Suburban,"healthcare, immigration (important issue)"
65,Female,65999.0,College,Clinton,6,7,2,Suburban,"healthcare, economy, social security (important issue)"
55,Female,17674.0,College,Clinton,7,2,5,Urban,"immigration, healthcare, social security, cost of living (major concern)"
25,Male,28926.0,Some College,Clinton,2,1,3,Suburban,"economy, immigration, cost of living (important issue)"
45,Female,28644.0,College,Clinton,2,5,3,Urban,"economy, healthcare, immigration, cost of living (important issue)"
55,Female,69006.0,Postgrad,Clinton,3,5,7,Suburban,"immigration, economy, healthcare, social security (important issue)"
35,Male,84212.0,Some College,Trump,4,1,6,Urban,"immigration, economy, healthcare (major concern)"
35,Male,47911.0,Some College,Trump,1,2,2,Suburban,"economy, healthcare, immigration (major concern)"
25,Female,46624.0,Postgrad,Trump,1,5,4,Rural,"economy, healthcare, rural development (major concern)"
18,Male,51401.0,College,Clinton,3,7,3,Suburban,"healthcare, economy, immigration (important issue)"
55,Female,73238.0,Some College,Trump,7,3,7,Suburban,"immigration, healthcare, social security (important issue)"
65,Male,31453.0,College,Clinton,2,1,1,Suburban,"economy, healthcare, immigration, social security (top priority)"
35,Female,54767.0,Some College,Clinton,7,7,1,Urban,"healthcare, economy (top priority)"
25,Male,69504.0,HS,Clinton,6,4,4,Rural,"healthcare, immigration, rural development (top priority)"
25,Female,60022.0,Some College,Trump,4,2,5,Urban,"immigration, economy (major concern)"
45,Female,53792.0,Postgrad,Other,3,1,2,Rural,"economy, immigration, rural development (major concern)"
55,Female,70021.0,Postgrad,Clinton,1,5,7,Suburban,"economy, immigration, social security (important issue)"
55,Female,15000.0,Some College,Trump,5,2,6,Suburban,"immigration, economy, social security, cost of living (major concern)"
45,Male,63558.0,Some College,Trump,7,3,7,Suburban,"immigration, healthcare (top priority)"
35,Female,36918.0,HS,Clinton,2,2,1,Suburban,"economy, healthcare (top priority)"
18,Male,15000.0,Postgrad,Clinton,5,2,1,Suburban,"economy, healthcare, immigration, cost of living (major concern)"
18,Male,60224.0,Postgrad,Clinton,6,3,4,Urban,"immigration, healthcare, economy (important issue)"
55,Male,77473.0,College,Other,3,6,5,Suburban,"healthcare, economy, social security (important issue)"
35,Male,47251.0,College,Clinton,7,3,5,Suburban,"immigration, healthcare, economy (top priority)"
18,Female,69057.0,College,Trump,1,7,4,Rural,"economy, healthcare, immigration, rural development (top priority)"
18,Female,82246.0,Some College,Clinton,7,2,7,Suburban,"immigration, healthcare, economy (top priority)"
45,Male,76298.0,HS,Trump,4,3,1,Urban,"economy, healthcare (important issue)"
18,Male,82799.0,Some College,Clinton,5,6,7,Urban,"immigration, healthcare (top priority)"
18,Female,64843.0,College,Trump,4,7,7,Suburban,"healthcare, immigration (important issue)"
35,Male,51509.0,College,Trump,6,1,2,Urban,"economy, immigration, healthcare (top priority)"
45,Male,17961.0,Some College,Trump,1,3,1,Urban,"economy, healthcare, cost of living (important issue)"
45,Male,45079.0,Postgrad,Trump,5,3,5,Rural,"immigration, economy, rural development (top priority)"
25,Female,33135.0,HS,Clinton,6,2,6,Suburban,"immigration, economy, healthcare (top priority)"
45,Female,93419.0,Some College,Trump,4,7,7,Suburban,"healthcare, immigration, economy (important issue)"
25,Male,46482.0,College,Clinton,4,1,1,Urban,"economy, healthcare (top priority)"
25,Male,52464.0,College,Clinton,5,4,7,Suburban,"immigration, healthcare (major concern)"
45,Female,61030.0,College,Trump,1,4,2,Urban,"economy, healthcare, immigration (major concern)"
35,Female,50872.0,HS,Clinton,4,5,3,Suburban,"healthcare, economy (major concern)"
55,Male,83901.0,HS,Trump,3,3,1,Urban,"economy, healthcare, social security (major concern)"
45,Female,37547.0,College,Other,6,3,4,Rural,"immigration, healthcare, rural development (major concern)"
35,Male,53892.0,Some College,Clinton,5,1,3,Suburban,"economy, immigration, healthcare (major concern)"
18,Male,35151.0,HS,Trump,2,6,7,Suburban,"immigration, economy (major concern)"
25,Female,23600.0,College,Clinton,2,4,4,Suburban,"economy, healthcare, immigration, cost of living (top priority)"
25,Male,37765.0,Some College,Clinton,1,5,4,Suburban,"economy, healthcare (important issue)"
25,Female,49259.0,College,Clinton,3,1,4,Urban,"economy, immigration, healthcare (major concern)"
65,Male,41414.0,College,Other,4,3,1,Suburban,"economy, healthcare, social security (important issue)"
25,Male,36152.0,HS,Trump,2,4,5,Urban,"economy, immigration (major concern)"
55,Female,21874.0,HS,Trump,1,7,7,Rural,"economy, healthcare, social security, cost of living, rural development (top priority)"
35,Male,48338.0,College,Other,6,5,3,Rural,"healthcare, immigration, economy, rural development (top priority)"
45,Female,19906.0,College,Clinton,3,2,2,Urban,"economy, healthcare, immigration, cost of living (major concern)"
35,Male,65201.0,College,Clinton,3,4,5,Rural,"economy, immigration, rural development (top priority)"
35,Male,51649.0,College,Trump,7,5,7,Urban,"immigration, healthcare (top priority)"
35,Male,20849.0,College,Trump,1,1,1,Urban,"economy, healthcare, immigration, cost of living (important issue)"
18,Female,43816.0,Postgrad,Clinton,1,2,4,Rural,"economy, immigration, healthcare, rural development (important issue)"
45,Male,34957.0,Some College,Clinton,7,5,2,Suburban,"healthcare, immigration, economy (top priority)"
25,Female,56383.0,Some College,Trump,4,5,7,Suburban,"immigration, healthcare (top priority)"
18,Male,76809.0,Some College,Trump,1,3,3,Urban,"economy, healthcare, immigration (major concern)"
35,Female,15000.0,HS,Clinton,7,6,7,Urban,"immigration, healthcare, economy, cost of living (important issue)"
18,Male,52301.0,Some College,Clinton,4,4,5,Rural,"immigration, economy, healthcare, rural development (important issue)"
65,Female,46797.0,HS,Trump,4,3,6,Urban,"immigration, economy, healthcare, social security (top priority)"
65,Female,63427.0,Postgrad,Trump,5,7,5,Urban,"healthcare, immigration, economy, social security (top priority)"
65,Female,54264.0,Some College,Clinton,3,2,7,Suburban,"immigration, economy, healthcare, social security (top priority)"
25,Female,34961.0,Some College,Trump,6,6,2,Suburban,"healthcare, economy, immigration (major concern)"
18,Female,43619.0,Some College,Clinton,3,5,7,Suburban,"immigration, economy (top priority)"
65,Female,34079.0,HS,Clinton,3,3,7,Urban,"immigration, economy, social security (important issue)"
25,Male,71520.0,HS,Trump,5,6,1,Urban,"healthcare, economy (major concern)"
65,Male,50426.0,Some College,Trump,4,7,3,Urban,"healthcare, economy, social security (top priority)"
65,Female,88024.0,HS,Clinton,4,4,2,Rural,"economy, healthcare, immigration, social security, rural development (important issue)"
55,Female,48787.0,College,Trump,1,7,7,Urban,"economy, healthcare, social security (important issue)"
25,Female,35832.0,Postgrad,Trump,5,2,4,Suburban,"immigration, economy, healthcare (important issue)"
25,Male,19726.0,Postgrad,Trump,1,1,3,Suburban,"economy, immigration, healthcare, cost of living (important issue)"
55,Male,15000.0,College,Trump,5,3,5,Rural,"immigration, economy, healthcare, social security, cost of living, rural development (top priority)"
25,Male,18317.0,HS,Trump,1,2,2,Rural,"economy, healthcare, cost of living, rural development (top priority)"
18,Female,55343.0,Postgrad,Trump,2,1,5,Urban,"economy, immigration (top priority)"
35,Male,60175.0,Postgrad,Clinton,7,3,7,Urban,"immigration, healthcare, economy (major concern)"
65,Male,18376.0,HS,Clinton,3,2,5,Suburban,"economy, immigration, healthcare, social security, cost of living (top priority)"
45,Male,67901.0,College,Clinton,3,7,5,Urban,"healthcare, economy (major concern)"
35,Male,40339.0,HS,Trump,6,2,1,Suburban,"economy, healthcare (major concern)"
18,Female,52936.0,College,Trump,7,6,5,Suburban,"healthcare, immigration, economy (major concern)"
35,Male,82244.0,Postgrad,Clinton,4,7,4,Rural,"healthcare, economy, immigration, rural development (important issue)"
65,Female,67937.0,HS,Clinton,6,3,4,Urban,"immigration, healthcare, social security (major concern)"
18,Male,44629.0,Postgrad,Trump,2,2,3,Rural,"economy, immigration, healthcare, rural development (major concern)"
35,Male,32176.0,College,Clinton,6,5,7,Urban,"immigration, healthcare (major concern)"
55,Male,15000.0,Postgrad,Trump,3,3,6,Suburban,"immigration, economy, healthcare, social security, cost of living (important issue)"
45,Male,35617.0,Some College,Clinton,4,2,5,Suburban,"immigration, economy (important issue)"
45,Male,45777.0,College,Trump,2,6,5,Suburban,"economy, healthcare (top priority)"
45,Male,30256.0,HS,Other,3,1,2,Suburban,"economy, immigration (important issue)"
25,Female,47375.0,Some College,Clinton,7,1,1,Rural,"economy, healthcare, rural development (important issue)"
25,Male,51537.0,HS,Clinton,1,5,6,Rural,"economy, immigration, healthcare, rural development (important issue)"
55,Female,45503.0,Postgrad,Clinton,5,3,3,Rural,"economy, healthcare, immigration, social security, rural development (major concern)"
55,Female,37000.0,College,Trump,2,6,6,Urban,"economy, healthcare, immigration, social security (major concern)"
55,Female,53373.0,Postgrad,Trump,4,2,5,Rural,"immigration, economy, healthcare, social security, rural development (top priority)"
65,Male,58839.0,Postgrad,Clinton,6,2,2,Suburban,"economy, healthcare, immigration, social security (major concern)"
35,Male,28192.0,HS,Trump,7,1,7,Urban,"immigration, economy, healthcare, cost of living (top priority)"
35,Male,78219.0,Some College,Trump,6,6,1,Urban,"healthcare, economy, immigration (important issue)"
45,Male,48028.0,HS,Clinton,2,7,7,Urban,"healthcare, immigration (top priority)"
35,Female,50377.0,HS,Clinton,7,5,3,Urban,"healthcare, immigration, economy (major concern)"
45,Male,64164.0,HS,Trump,4,1,6,Suburban,"immigration, economy (important issue)"
45,Male,54664.0,Some College,Trump,2,1,3,Rural,"economy, immigration, healthcare, rural development (important issue)"
55,Female,69063.0,HS,Trump,4,5,5,Suburban,"healthcare, immigration, economy, social security (important issue)"
25,Female,55742.0,HS,Trump,6,3,3,Suburban,"healthcare, immigration (major concern)"
25,Female,37751.0,HS,Trump,3,2,7,Rural,"immigration, economy, rural development (top priority)"
18,Male,57230.0,HS,Clinton,7,3,2,Urban,"healthcare, immigration, economy (top priority)"
35,Male,27125.0,Postgrad,Trump,1,6,3,Rural,"economy, healthcare, cost of living, rural development (major concern)"
18,Male,52171.0,College,Trump,3,7,4,Suburban,"healthcare, economy, immigration (major concern)"
35,Male,49335.0,Postgrad,Trump,1,4,2,Suburban,"economy, healthcare (important issue)"
35,Male,45838.0,Some College,Clinton,6,4,6,Urban,"immigration, healthcare (major concern)"
25,Male,47429.0,HS,Clinton,7,4,1,Suburban,"healthcare, economy (top priority)"
35,Male,15000.0,College,Clinton,3,5,1,Urban,"economy, healthcare, immigration, cost of living (major concern)"
18,Male,39026.0,Some College,Clinton,3,1,5,Suburban,"economy, immigration (important issue)"
18,Male,51857.0,HS,Clinton,2,7,5,Urban,"healthcare, economy (top priority)"
55,Female,53197.0,HS,Trump,5,3,4,Rural,"immigration, economy, social security, rural development (top priority)"
